id	name_en	name_zh	aliases	primary_family	tasks	designs	domains	r_packages	r_functions	maturity	cautions	source_keys
galbraith-plot	Galbraith plot	加尔布雷思图	radial plot	effect-uncertainty	meta heterogeneity/outliers	studies	general	metafor	radial	domain-standard	standardized effect geometry	P-META-TAXONOMY
l-abbe-plot	L'Abbé plot	L'Abbé 图	trial event-rate scatter	effect-uncertainty	binary meta heterogeneity	studies	general	meta; metafor	labbe	domain-standard	study size and line meaning	P-META-TAXONOMY
baujat-plot	Baujat plot	Baujat 图	meta influence plot	effect-uncertainty	heterogeneity contribution	studies	general	metafor	baujat	domain-standard	axes depend on fitted meta model	P-META-TAXONOMY
drapery-plot	drapery plot	帷幕图	confidence curve plot	effect-uncertainty	meta p-value/confidence sensitivity	studies	general	metafor; meta	drapery	niche	multiple curves can overwhelm	P-META-TAXONOMY
specification-curve	specification curve	规格曲线	outcome curve plus decisions	effect-uncertainty	analytic robustness	multiverse	general; soil	specr; custom	plot specs	recent-method	specification set must be defensible	P-MULTIVERSE-2026
multiverse-plot	multiverse plot	多宇宙图	density plus decision dashboard	effect-uncertainty	large multiverse analysis	multiverse	general; soil	paper R code	custom	recent-method	new method; binning decisions and model universe transparency	P-MULTIVERSE-2026
vibration-of-effects	vibration of effects plot	效应振动图	VoE plot	effect-uncertainty	model sensitivity	multiverse	general; soil	custom ggplot	points/density	canonical	avoid mixing invalid specifications	P-MULTIVERSE-2026
scatterplot	scatter plot	散点图	x-y plot	relationship	relationship; correlation	independent	general; soil	ggplot2	geom_point	canonical	overplotting; association is not causation	R-GGPLOT
bubble-chart	bubble chart	气泡图	proportional symbol scatter	relationship	three-variable relationship	independent	general; soil	ggplot2	geom_point size	canonical	scale area not radius; legend clarity	R-GGPLOT
hexbin-plot	hexbin plot	六边形分箱图	hexagonal binning	relationship	dense relationship	large n	general; soil	hexbin; ggplot2	geom_hex	canonical	bin size and count/density scale	R-GGPLOT
rect-bin2d	rectangular 2D bin plot	二维矩形分箱图	2D histogram	relationship	dense relationship	large n	general	ggplot2	geom_bin_2d	canonical	bin origin/size	R-GGPLOT
density-2d	2D density contour	二维密度等高图	KDE contour	relationship	bivariate density	large n	general; soil	ggplot2	geom_density_2d; stat_density_2d	canonical	bandwidth and contour normalization	R-GGPLOT
density-raster	2D density raster	二维密度栅格图	density heatmap	relationship	bivariate density	large n	general	ggplot2	stat_density_2d geom raster	canonical	color scale and bandwidth	R-GGPLOT
scatter-density	scatter density plot	点密度着色散点图	point density plot	relationship	dense scatter	large n	general; soil	ggpointdensity	geom_pointdensity	canonical	local density definition and colorbar	R-GGPLOT
connected-scatter	connected scatterplot	连接散点图	path scatter	relationship	trajectory in x-y state space	repeated; temporal	general; environmental	ggplot2	geom_path plus points	canonical	arrows/time labels needed; crossings	R-GGPLOT
regression-line	regression scatter with interval	回归散点及区间图	fit plot	relationship	model relationship	model-based	general; soil	ggplot2; marginaleffects	geom_point plus fitted line/ribbon	canonical	CI vs PI; model formula; extrapolation	R-GGPLOT
loess-plot	LOESS smooth plot	LOESS 平滑图	local regression	relationship	nonlinear exploration	independent	general; soil	ggplot2	geom_smooth method loess	canonical	span and boundary; exploratory not causal	R-GGPLOT
gam-smooth	GAM smooth effect plot	GAM 平滑效应图	smooth term plot	relationship	nonlinear model effect	model-based	general; soil	mgcv; gratia	draw; smooth_estimates	canonical	basis dimension and simultaneous intervals	R-CTV-ENV
response-surface	response surface	响应面图	contour response surface	relationship	two-predictor response	designed experiment	soil; agronomy	ggplot2; plotly	geom_contour; geom_raster	domain-standard	design space and extrapolation; 3D optional	R-CTV-AGRI
ternary-response	ternary response contour	三元响应等高图	simplex surface	relationship	mixture response	mixture design	soil; chemistry	ggtern	stat_contour_tern	domain-standard	only within design simplex	R-CTV-COMP
correlation-matrix	correlation matrix plot	相关矩阵图	correlogram	relationship	many pairwise associations	independent	general; soil	ggcorrplot; corrplot; ComplexHeatmap	corrplot; heatmap	canonical	method, n, missingness and multiplicity	R-CTV-ENV
scatterplot-matrix	scatterplot matrix	散点图矩阵	pairs plot; SPLOM	relationship	multivariate pairwise exploration	independent	general; soil	GGally; graphics	ggpairs; pairs	canonical	scales and overplotting; many variables	R-GGPLOT
parallel-coordinates	parallel coordinates	平行坐标图	parallel coordinate plot	multivariate	multivariate profiles	independent	general; soil	GGally; ggplot2	ggparcoord	canonical	variable scaling/order dominates shape	R-CTVS
andrews-curves	Andrews curves	安德鲁斯曲线	Fourier profile curves	multivariate	multivariate class exploration	independent	general	andrews; GGally	andrews_curves	niche	variable order/scaling and dense overlap	R-CTVS
radar-chart	radar chart	雷达图	spider chart; star plot	multivariate	few normalized profiles	independent	general; soil	fmsb; ggradar	radar chart	caution	caution: axis order/scales create shape; provide table/points	R-CTVS
star-glyph	star glyph plot	星形符号图	stars plot	multivariate	multivariate glyph	independent	general	graphics	stars	caution	caution: poor precise comparison and order sensitivity	R-CTVS
ternary-plot	ternary plot	三元图	triangle plot	composition	three-part composition	compositional	soil; chemistry	soiltexture; ggtern	TT.plot; ggtern	domain-standard	components must share definition and close to total	R-SOILTEXTURE;R-CTV-COMP
pca-biplot	PCA biplot	PCA 双标图	principal component biplot	multivariate	ordination; variable/sample structure	multivariate	soil; ecology	vegan; factoextra	biplot; scores	domain-standard	center/scale and biplot scaling	R-VEGAN
pcoa-plot	PCoA plot	主坐标分析图	principal coordinates ordination	multivariate	distance ordination	multivariate	ecology; microbiome	vegan; ape	wcmdscale; pcoa	domain-standard	distance and negative eigenvalues	R-VEGAN
nmds-plot	NMDS ordination	NMDS 排序图	nonmetric multidimensional scaling	multivariate	distance ordination	multivariate	ecology; soil-biology	vegan	metaMDS; scores	domain-standard	distance, stress, starts; axes arbitrary	R-VEGAN
rda-triplot	RDA triplot	RDA 三标图	redundancy analysis plot	multivariate	constrained ordination	multivariate; constrained	ecology; soil	vegan	rda; plot; scores	domain-standard	response transform, scaling, permutation	R-VEGAN
cca-triplot	CCA triplot	CCA 三标图	canonical correspondence plot	multivariate	unimodal constrained ordination	multivariate; constrained	ecology; soil	vegan	cca; plot; scores	domain-standard	chi-square geometry, scaling, permutation	R-VEGAN
dbrda-plot	dbRDA ordination	距离约束排序图	distance-based RDA	multivariate	constrained distance ordination	multivariate; constrained	ecology; microbiome	vegan	dbrda; capscale	domain-standard	distance, conditions, negative eigenvalues	R-VEGAN
ordination-hull	ordination convex hull	排序凸包图	convex hull groups	multivariate	group extent	multivariate	ecology	vegan	ordihull	domain-standard	hull is sample extent not confidence	R-VEGAN
ordination-ellipse	ordination ellipse	排序椭圆图	group ellipse	multivariate	group location/dispersion	multivariate	ecology	vegan	ordiellipse	domain-standard	state SD/SE/confidence and assumptions	R-VEGAN
ordination-spider	ordination spider plot	排序蜘蛛图	centroid spider	multivariate	within-group dispersion	multivariate	ecology	vegan	ordispider	domain-standard	centroid definition and group size	R-VEGAN
variation-partition	variation partition diagram	变异分解图	varpart Venn-like	multivariate	partition explained variation	multivariate; constrained	ecology; soil	vegan	varpart; plot	domain-standard	fractions may be negative; adjusted R2; overlap not literal area	R-VEGAN
line-chart	line chart	折线图	time series line	temporal	change over time/repeated x	ordered; repeated	general; soil	ggplot2	geom_line	canonical	do not connect missing or unordered observations	R-GGPLOT
step-chart	step chart	阶梯图	stair plot	temporal	piecewise constant process	ordered	general; soil	ggplot2	geom_step	canonical	step direction and interval support	R-GGPLOT
area-chart	area chart	面积图	filled line	temporal	magnitude over sequence	ordered	general	ggplot2	geom_area	canonical	zero baseline and overlap	R-GGPLOT
stacked-area	stacked area chart	堆叠面积图	composition stream	temporal	composition over time	ordered; compositional	general; soil	ggplot2	geom_area position stack	canonical	middle layers lack baseline; totals and closure	R-GGPLOT
streamgraph	streamgraph	流图	theme river	temporal	changing composition	ordered; compositional	general	streamgraph; ggstream	geom_stream	caution	caution: wiggle baseline impairs absolute reading	R-CTV-DYNAMICVISUALIZATIONS
horizon-chart	horizon graph	地平线图	horizon plot	temporal	many dense time series	ordered	climate; environmental	horizon; ggHoriPlot	custom	niche	folding and color bands require legend	R-CTV-DYNAMICVISUALIZATIONS
lasagna-plot	lasagna plot	千层面图	time by subject heatmap	temporal	many repeated trajectories	repeated	general; soil	ggplot2	geom_raster	domain-standard	row ordering and missing color	R-GGPLOT
calendar-heatmap	calendar heatmap	日历热图	calendar plot	temporal	daily patterns	ordered	climate; hydrology	calendR; ggplot2	geom_tile	canonical	calendar convention and missing days	R-CTV-HYDRO
event-timeline	event timeline	事件时间线	chronology plot	temporal	events and interventions	ordered	general; soil	ggplot2	geom_segment; geom_point	canonical	overlap and uncertain dates	R-GGPLOT
gantt-chart	Gantt chart	甘特图	interval timeline	temporal	project/experiment schedule	ordered intervals	general	ggplot2	geom_segment; geom_rect	canonical	not a quantitative outcome plot	R-GGPLOT
phenology-wheel	phenology wheel	物候轮图	seasonal wheel	temporal	cyclic seasonal events	cyclic	ecology; agronomy	phenopix; ggplot2 coord_polar	custom	domain-standard	polar comparison and year alignment	R-CTV-AGRI
seasonal-subseries	seasonal subseries plot	季节子序列图	month plot	temporal	seasonality across years	ordered	climate; hydrology	forecast; ggplot2	monthplot; facet	canonical	calendar vs hydrological year	R-CTV-HYDRO
autocorrelation-plot	autocorrelation plot	自相关图	ACF	temporal	temporal dependence	time series	general; soil	stats; forecast	acf	canonical	confidence bands assume conditions; detrending	R-CTV-HYDRO
partial-autocorrelation	partial autocorrelation plot	偏自相关图	PACF	temporal	time-series lag structure	time series	general	stats	pacf	canonical	model and stationarity context	R-CTV-HYDRO
lag-plot	lag plot	滞后图	serial scatter	temporal	autocorrelation/nonlinearity	time series	general; environmental	stats; ggplot2	lag.plot; geom_point	canonical	lag and missing handling	R-CTV-HYDRO
change-point-plot	change-point plot	变点图	segmented timeline	temporal	regime shifts	time series	climate; soil	changepoint; segmented	plot plus intervals	domain-standard	algorithm, penalty and uncertainty	R-CTV-ENV
control-chart	control chart	控制图	Shewhart chart	temporal	process monitoring	ordered process	laboratory; environmental	qcc	qcc	domain-standard	limits are process-based not specification limits	R-CTVS
run-chart	run chart	运行图	run sequence plot	temporal	process stability	ordered process	laboratory	ggplot2	geom_line plus median	canonical	run rules and baseline period	R-CTVS
survival-km	Kaplan-Meier curve	Kaplan–Meier 曲线	survival curve	temporal	time-to-event	censored	general; ecotoxicology	survival; ggsurvfit	survfit; ggsurvfit	domain-standard	censor marks, risk table, competing risks	R-CTVS
cumulative-incidence	cumulative incidence curve	累积发生曲线	competing risks curve	temporal	competing events	censored	general	cmprsk; tidycmprsk	cuminc	domain-standard	not 1-KM when competing risks	R-CTVS
swimmer-plot	swimmer plot	泳道图	individual duration plot	temporal	individual event histories	censored; repeated	general; ecotoxicology	ggplot2	geom_segment plus points	domain-standard	many subjects and censor/event symbols	R-GGPLOT
lexis-diagram	Lexis diagram	Lexis 图	age-period-cohort diagram	temporal	cohort trajectories	cohort	population ecology	Epi; LexisPlotR	Lexis; plot	niche	age/time coordinate definitions	R-CTVS
state-sequence	state sequence plot	状态序列图	sequence index plot	temporal	categorical trajectories	repeated categorical	general; agronomy	TraMineR	seqIplot	domain-standard	state ordering and many sequences	R-CTVS
alluvial-plot	alluvial plot	冲积图	flow bands	flow	category transitions	longitudinal; flow	general; soil	ggalluvial	geom_alluvium	domain-standard	IDs and flow conservation; crossings	R-GGPLOT
sankey-diagram	Sankey diagram	桑基图	flow diagram	flow	mass/energy/category flow	flow	biogeochemistry; general	networkD3; plotly; ggalluvial	sankeyNetwork; custom	domain-standard	mass balance, units and path order	R-CTV-DYNAMICVISUALIZATIONS
parallel-sets	parallel sets	平行集合图	categorical parallel coordinates	flow	multidimensional categorical flow	independent	general	ggforce	geom_parallel_sets	domain-standard	category order and ribbon crossings	R-GGPLOT
chord-diagram	chord diagram	弦图	circos links	flow	pairwise flows/interactions	network	microbiome; biogeochemistry	circlize	chordDiagram	domain-standard	many chords obscure direction and magnitude	R-CTVS
riverplot	river plot	河流图	flow network	flow	flows through nodes	directed flow	general; omics	riverplot	riverplot	niche	layout and conserved quantities	R-CTVS
pie-chart	pie chart	饼图	sector chart	composition	part-to-whole	compositional	general	ggplot2; graphics	coord_polar; pie	caution	caution: angle/area comparison poor; few large parts only	R-GGPLOT
donut-chart	donut chart	环形图	doughnut chart	composition	part-to-whole	compositional	general	ggplot2	coord_polar plus x limits	caution	caution: less area and same comparison problems as pie	R-GGPLOT
waffle-chart	waffle chart	华夫图	unit grid	composition	part-to-whole discrete units	compositional	general	waffle	geom_waffle	niche	rounding and grid unit definition	R-CTVS
pictogram-chart	pictogram chart	象形单位图	isotype	composition	part-to-whole counts	integer counts	general	ggimage; waffle	custom	niche	icon area and rounding; accessibility	R-CTVS
treemap	treemap	矩形树图	nested area map	hierarchy	part-to-whole hierarchy	hierarchical	general; ecology	treemapify; treemap	geom_treemap	domain-standard	area comparison, hierarchy depth and labels	R-CTVS
sunburst	sunburst chart	旭日图	radial hierarchy	hierarchy	hierarchical composition	hierarchical	general; taxonomy	plotly; sunburstR	plot_ly type sunburst	domain-standard	radial area and deep hierarchy difficult	R-CTV-DYNAMICVISUALIZATIONS
icicle-plot	icicle plot	冰柱图	rectangular hierarchy	hierarchy	hierarchical composition	hierarchical	general	plotly; partition	icicle	domain-standard	ordering and area encoding	R-CTV-DYNAMICVISUALIZATIONS
marimekko	Marimekko plot	马赛克矩形图	mosaic bar; mekko	composition	two-way composition	categorical	general	ggmosaic	geom_mosaic	domain-standard	both width and height encode proportions	R-GGPLOT
mosaic-plot	mosaic plot	马赛克图	contingency mosaic	matrix	categorical association	contingency	general	vcd	mosaic	domain-standard	area and residual shading definitions	R-CTVS
association-plot	association plot	关联图	Cohen-Friendly association	matrix	contingency residuals	contingency	general	vcd	assoc	domain-standard	residual scale and sign	R-CTVS
fluctuation-diagram	fluctuation diagram	波动图	balloon contingency	matrix	contingency counts	contingency	general	vcd	fluctile	niche	area rather than radius; sparse cells	R-CTVS
heatmap	heatmap	热图	matrix heatmap	matrix	matrix pattern	multivariate	general; soil	ggplot2; ComplexHeatmap	geom_tile; Heatmap	canonical	ordering, scaling, missing and color limits	R-COMPLEXHEATMAP
clustered-heatmap	clustered heatmap	聚类热图	heatmap with dendrogram	matrix	clusters and matrix patterns	multivariate	soil; microbiome	ComplexHeatmap	Heatmap	domain-standard	distance, linkage, scaling and cut	R-COMPLEXHEATMAP
annotated-heatmap	annotated heatmap	注释热图	complex heatmap	matrix	multi-layer matrix	multivariate	soil; omics	ComplexHeatmap	HeatmapAnnotation	domain-standard	annotation legends and consistent samples	R-COMPLEXHEATMAP
dot-heatmap	dot heatmap	点阵热图	bubble matrix; balloon plot	matrix	two metrics on matrix	multivariate	microbiome; soil	ggplot2	geom_point	canonical	area/colour scale, zero vs missing	R-GGPLOT
distance-matrix	distance matrix heatmap	距离矩阵热图	dissimilarity heatmap	matrix	pairwise distances	multivariate	ecology; soil	ComplexHeatmap; vegan	Heatmap	canonical	distance definition and ordering	R-VEGAN
confusion-matrix	confusion matrix heatmap	混淆矩阵图	classification matrix	matrix	classification performance	validation	general; soil	yardstick; ggplot2	conf_mat; autoplot	domain-standard	counts vs row/column normalization	R-CTVS
hinton-diagram	Hinton diagram	辛顿图	weight matrix glyph	matrix	matrix weights/signs	multivariate	general	plot.matrix; custom	custom	niche	area and sign legend	R-CTVS
upset-plot	UpSet plot	UpSet 集合图	intersection matrix	set	set intersections	sets	general; omics	ComplexUpset; UpSetR	upset	domain-standard	set universe and empty intersections	R-COMPLEXHEATMAP
venn-diagram	Venn diagram	维恩图	set circles	set	set intersections	sets	general	ggVennDiagram; VennDiagram	ggVennDiagram	canonical	more than 3 sets and non-area-proportional layouts	R-CTVS
euler-diagram	Euler diagram	欧拉图	area proportional sets	set	set intersections	sets	general	eulerr	plot.euler	domain-standard	fit error and area perception	R-CTVS
oncoprint	OncoPrint	肿瘤突变矩阵图	alteration matrix	matrix	multi-event sample matrix	multivariate	omics; environmental mixtures	ComplexHeatmap	oncoPrint	domain-standard	adaptation outside genomics must define event glyphs	R-COMPLEXHEATMAP
node-link-network	node-link network	节点—连线网络图	graph plot	network	relationship topology	network	soil-biology; general	igraph; ggraph	ggraph; geom_edge_link	domain-standard	layout not data; threshold and seed	R-CTVS
directed-network	directed network	有向网络图	digraph	network	directional interactions	directed network	biogeochemistry; ecology	igraph; ggraph	geom_edge_link arrow	domain-standard	arrows, feedback, causality limits	R-CTVS
weighted-network	weighted network	加权网络图	weighted graph	network	interaction strength	weighted network	soil-biology	igraph; ggraph	edge_width scales	domain-standard	weight sign, transform and stability	R-CTVS
bipartite-network	bipartite network	二分网络图	two-mode network	network	two-level interactions	bipartite	ecology	bipartite; ggraph	plotweb; ggraph	domain-standard	sampling effort and level order	R-CTV-ENV
arc-diagram	arc diagram	弧线图	linear network arcs	network	network along ordered nodes	network	general	ggraph	geom_edge_arc	niche	node ordering determines crossings	R-GGPLOT
