journal_name,group_name,soil_relevance,publisher,language_or_region,soil_topic_scope,official_author_url,official_source_status,source_accessed_at,cscd_2025_2026,scopus_2026_07,scopus_coverage,scopus_source_id,evidence_grade,caution,evidence_sources,evidence_accessed_at
农业机械学报,中文土壤学及相关专业期刊,土壤及邻近,中国农业机械学会、中国农业机械化科学研究院,中文/中英摘要,耕作机械/土壤工程,http://www.j-csam.org/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
农业现代化研究,中文土壤学及相关专业期刊,土壤及邻近,中国科学院亚热带农业生态研究所,中文/中英摘要,农业生态/资源环境,http://nyxdhyj.isa.ac.cn/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
农业资源与环境学报,中文土壤学及相关专业期刊,土壤及邻近,农业农村部环境保护科研监测所,中文/中英摘要,农业资源/土壤环境,https://www.aed.org.cn/nyzyyhjxb/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
生态毒理学报,中文综合与交叉期刊,综合交叉,中国科学院生态环境研究中心,中文/中英摘要,土壤污染生态毒理、风险和生物效应,https://cdn.sciengine.com/AJE/home,official entry recorded,2026-08-15,E,,,,CSCD 扩展,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
生态环境学报,中文土壤学及相关专业期刊,土壤及邻近,广东省生态环境与土壤研究所、广东省土壤学会,中文/中英摘要,土壤生态/环境,http://www.jeesci.com/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
生态学报,中文土壤学及相关专业期刊,土壤及邻近,中国生态学学会、中国科学院生态环境研究中心,中文/中英摘要,土壤生态/生态系统,https://www.ecologica.cn/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
生态学杂志,中文土壤学及相关专业期刊,土壤及邻近,中国生态学学会、中国科学院沈阳应用生态研究所,中文/中英摘要,土壤生态/生态过程,http://www.cje.net.cn/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
生态与农村环境学报,中文土壤学及相关专业期刊,土壤及邻近,生态环境部南京环境科学研究所,中文/中英摘要,土壤生态/农村环境,http://www.ere.ac.cn/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
生物多样性,中文综合与交叉期刊,综合交叉,中国科学院植物研究所、中国植物学会,中文/中英摘要,土壤生物多样性、地下生态与保护,https://www.biodiversity-science.net/,official entry recorded,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
湿地科学,中文土壤学及相关专业期刊,土壤及邻近,中国科学院东北地理与农业生态研究所、中国生态学学会,中文/中英摘要,湿地土壤/生物地球化学,http://wetlands.neigae.ac.cn/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
水土保持通报,中文土壤学及相关专业期刊,土壤及邻近,中国科学院水利部水土保持研究所,中文/中英摘要,土壤侵蚀/水土保持,http://stbctb.alljournal.com.cn/,官网投稿须知,2026-08-15,E,,,,CSCD 扩展,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
水土保持学报,中文土壤学及相关专业期刊,土壤及邻近,中国科学院水利部水土保持研究所,中文/中英摘要,土壤侵蚀/水土保持,https://www.stbcxb.com.cn/zh/info/16499/,投稿须知与写作指南均有官方页面,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
水土保持研究,中文土壤学及相关专业期刊,土壤及邻近,中国科学院水利部水土保持研究所,中文/中英摘要,土壤侵蚀/生态恢复,http://stbcyj.paperonce.org/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
土壤,中文土壤学及相关专业期刊,直接土壤,中国科学院南京土壤研究所,中文/中英摘要,直接土壤学,http://soils.issas.ac.cn/,官网投稿须知；本地包已有保存件,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
土壤通报,中文土壤学及相关专业期刊,直接土壤,中国土壤学会、沈阳农业大学,中文/中英摘要,直接土壤学,http://www.trtb.net/tougaozhinan,当前指南仍写 GB/T 7714—2015；模板下载有验证码,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
土壤学报,中文土壤学及相关专业期刊,直接土壤,中国科学院南京土壤研究所、中国土壤学会,中文/中英摘要,直接土壤学,http://pedologica.issas.ac.cn/,官网内“投稿指南/下载中心”,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
土壤与作物,中文土壤学及相关专业期刊,直接土壤,中国科学院东北地理与农业生态研究所,中文/中英摘要,直接土壤学/作物,http://trzw.cbpt.cnki.net/,官网投稿须知,2026-08-15,,,,,期刊资料,CSCD 2025–2026 来源期刊表中未检索到该刊。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
微生物学报,中文综合与交叉期刊,综合交叉,中国科学院微生物研究所、中国微生物学会,中文/中英摘要,土壤微生物生态、功能菌与组学,https://actamicro.ijournals.cn/actamicrocn/,official entry recorded,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
微生物学通报,中文综合与交叉期刊,综合交叉,中国科学院微生物研究所、中国微生物学会,中文/中英摘要,土壤微生物技术、群落与教学方法,https://wswxtb.ijournals.cn/wswxtbcn/,official entry recorded,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
西北农林科技大学学报（自然科学版）,中文土壤学及相关专业期刊,土壤及邻近,西北农林科技大学,中文/中英摘要,水土保持/土壤肥料,https://www.xnxbz.net/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
西南农业学报,中文土壤学及相关专业期刊,土壤及邻近,西南地区农业科学院等,中文/中英摘要,土壤肥料/农业生态,http://www.xnnyxb.com/,官网投稿须知,2026-08-15,E,,,,CSCD 扩展,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
岩矿测试,中文土壤学及相关专业期刊,土壤及邻近,中国地质学会岩矿测试技术专业委员会、国家地质实验测试中心,中文/中英摘要,土壤矿物/元素分析方法,http://www.ykcs.ac.cn/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
岩石矿物学杂志,中文土壤学及相关专业期刊,土壤及邻近,中国地质学会岩石学专业委员会等,中文/中英摘要,土壤矿物学/黏土矿物,http://www.yskw.ac.cn/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
遥感学报,中文土壤学及相关专业期刊,土壤及邻近,中国科学院空天信息创新研究院、中国地理学会,中文/中英摘要,土壤遥感/数字制图,https://www.ygxb.ac.cn/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
应用生态学报,中文土壤学及相关专业期刊,土壤及邻近,中国生态学学会、中国科学院沈阳应用生态研究所,中文/中英摘要,土壤生态/农林生态,http://www.cjae.net/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
长江流域资源与环境,中文综合与交叉期刊,综合交叉,中国科学院武汉文献情报中心、中国科学院南京地理与湖泊研究所,中文/中英摘要,流域土壤、土地利用、生态风险和面源污染,https://yangtzebasin.whlib.ac.cn/,official entry recorded,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
浙江大学学报（农业与生命科学版）,中文土壤学及相关专业期刊,土壤及邻近,浙江大学,中文/中英摘要,土壤资源/植物营养,https://www.zjujournals.com/agr/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
植物生态学报,中文土壤学及相关专业期刊,土壤及邻近,中国科学院植物研究所、中国植物学会,中文/中英摘要,土壤—植物关系/生态,https://www.plant-ecology.com/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
植物营养与肥料学报,中文土壤学及相关专业期刊,土壤及邻近,中国植物营养与肥料学会,中文/中英摘要,植物营养/肥料/土壤,https://www.plantnutrifert.org/,本地包已有投稿须知 PDF,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
中国环境科学,中文土壤学及相关专业期刊,土壤及邻近,中国环境科学学会,中文/中英摘要,土壤污染/修复,http://www.zghjkx.com.cn/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
中国科学：地球科学,中文综合与交叉期刊,综合交叉,中国科学院、国家自然科学基金委员会,中文/英文,土壤形成、关键带、风化、地球化学和陆面过程,https://www.sciengine.com/SCES/home,official entry recorded,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
中国农学通报,中文土壤学及相关专业期刊,土壤及邻近,中国农学会,中文/中英摘要,土壤肥料/资源环境,https://www.casb.org.cn/,官网投稿须知,2026-08-15,,,,,期刊资料,CSCD 2025–2026 来源期刊表中未检索到该刊。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
中国农业科学,中文土壤学及相关专业期刊,土壤及邻近,中国农业科学院,中文/中英摘要,土壤肥料/农业资源环境,https://www.chinaagrisci.com/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
中国农业资源与区划,中文土壤学及相关专业期刊,土壤及邻近,中国农业科学院农业资源与农业区划研究所,中文/中英摘要,耕地质量/土地资源,https://www.cjarrp.com/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
中国沙漠,中文综合与交叉期刊,综合交叉,中国科学院西北生态环境资源研究院、中国地理学会,中文/中英摘要,荒漠土壤、风蚀、土地退化与恢复,http://www.desert.ac.cn/,official entry recorded,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
中国生态农业学报（中英文）,中文土壤学及相关专业期刊,土壤及邻近,中国科学院遗传与发育生物学研究所农业资源研究中心、中国生态经济学学会,中英文,农田土壤/生态农业,https://www.ecoagri.ac.cn/,官网投稿指南,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
中国水土保持科学,中文土壤学及相关专业期刊,土壤及邻近,中国水土保持学会,中文/中英摘要,土壤侵蚀/水土保持,http://www.sswcc.org.cn/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
中国土壤与肥料,中文土壤学及相关专业期刊,土壤及邻近,中国农业科学院农业资源与农业区划研究所、中国植物营养与肥料学会,中文/中英摘要,土壤肥力/肥料,https://chinatrfl.alljournal.net.cn/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
资源科学,中文土壤学及相关专业期刊,土壤及邻近,中国科学院地理科学与资源研究所、中国自然资源学会,中文/中英摘要,土地资源/生态系统服务,https://www.resci.cn/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
自然资源学报,中文综合与交叉期刊,综合交叉,中国自然资源学会、中国科学院地理科学与资源研究所,中文/中英摘要,耕地、土地退化、土壤资源与生态系统服务,https://www.jnr.ac.cn/,official entry recorded,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
自然资源遥感,中文土壤学及相关专业期刊,土壤及邻近,中国自然资源航空物探遥感中心,中文/中英摘要,土壤与土地遥感,https://www.gtzyyg.com/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
作物学报,中文土壤学及相关专业期刊,土壤及邻近,中国作物学会、中国农业科学院作物科学研究所,中文/中英摘要,土壤—作物/养分管理,https://zwxb.chinacrops.org/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Acta Agriculturae Scandinavica Section B: Soil and Plant Science,国际土壤学专业期刊,直接土壤,Taylor & Francis,International / English,直接土壤学/土壤过程,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=sagb20,已定位官方投稿入口,2026-08-15,,Active,1992-2026,51952,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Acta Pedologica Sinica,国际土壤学专业期刊,直接土壤,待核验,International / English,直接土壤学/土壤过程,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,2016-2026; 1988; 1983-1985; 1979-1980,85584,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Advances in Agriculture,国际土壤学交叉期刊,土壤及邻近,待核验,International / English,Scopus 土壤学分类中的交叉期刊,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,2014-2026,21101066325,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Agricultural and Environmental Letters,国际土壤学交叉期刊,土壤及邻近,待核验,International / English,Scopus 土壤学分类中的交叉期刊,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,2016-2026,21100976164,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Agricultural and Forest Meteorology,国际综合与跨学科期刊,综合交叉,Elsevier,国际/英文,土壤水热、蒸散、碳通量和陆气交换,https://www.sciencedirect.com/journal/agricultural-and-forest-meteorology/publish/guide-for-authors,official entry recorded,2026-08-15,,Active,1984-2026,12067,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Agricultural Systems,国际综合与跨学科期刊,综合交叉,Elsevier,国际/英文,土壤管理在农场和食物系统中的综合效应,https://www.sciencedirect.com/journal/agricultural-systems/publish/guide-for-authors,official entry recorded,2026-08-15,,Active,1976-2026,15061,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Agricultural Water Management,国际土壤学交叉期刊,土壤及邻近,待核验,International / English,Scopus 土壤学分类中的交叉期刊,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,1979-2026; 1976-1977,35824,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
"Agriculture, Ecosystems & Environment",国际综合与跨学科期刊,综合交叉,Elsevier,国际/英文,农田土壤碳氮、温室气体、生态系统服务与管理,https://www.sciencedirect.com/journal/agriculture-ecosystems-and-environment/publish/guide-for-authors,official entry recorded,2026-08-15,,Active,1983-2026,15110,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Agrochimica,国际土壤学专业期刊,直接土壤,Pisa University Press,International / English,Soil Science category,https://www.pisauniversitypress.it/landing-page/le-riviste/agrochimica-1497.html,已定位官方投稿入口,2026-08-15,,Inactive,1993-2023; 1986-1989; 1983-1984; 1981; 1973,15588,历史收录,Scopus 2026年7月来源表状态为 Inactive，登记覆盖范围为 1993-2023; 1986-1989; 1983-1984; 1981; 1973。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
"Agrosystems, Geosciences and Environment",国际土壤学交叉期刊,土壤及邻近,待核验,International / English,Scopus 土壤学分类中的交叉期刊,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,2018-2026,21101063715,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Annals of Agricultural Sciences,国际土壤学交叉期刊,土壤及邻近,待核验,International / English,Scopus 土壤学分类中的交叉期刊,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,2011-2026,21100823384,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Applied and Environmental Soil Science,国际土壤学专业期刊,直接土壤,Wiley,International / English,直接土壤学/土壤过程,https://onlinelibrary.wiley.com/page/journal/16877675/homepage/forauthors.html,已定位官方投稿入口,2026-08-15,,Active,2012-2026,21100228104,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
