id	name_en	name_zh	primary_family	schema_id	renderer	coverage_tier	required_packages	source_keys
spike-plot	spike plot	尖峰图	distribution	categorical	distribution	named-variant-validated	ggplot2;jsonlite;ragg	R-GGDIST
hdr-boxplot	highest-density-region boxplot	最高密度区箱图	distribution	categorical	distribution	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
bagplot	bagplot	袋形图	distribution	xy	bagplot	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
violin-box-points	violin-box-point composite	小提琴-箱线-点组合图	distribution	categorical	distribution	named-variant-validated	ggplot2;jsonlite;ragg	P-REVEAL-2019
pirate-plot	pirate plot	海盗图	distribution	categorical	distribution	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
bar-count	count bar chart	计数条形图	comparison	categorical	comparison	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
bar-value	value bar chart	数值条形图	comparison	categorical	comparison	named-variant-validated	ggplot2;jsonlite;ragg	P-REVEAL-2019
grouped-bar	grouped bar chart	分组条形图	comparison	categorical	comparison	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
stacked-bar	stacked bar chart	堆叠条形图	composition	composition	composition	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
percent-stacked-bar	100 percent stacked bar	百分比堆叠条形图	composition	composition	composition	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-COMP
diverging-stacked-bar	diverging stacked bar	发散堆叠条形图	comparison	categorical	comparison	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
cleveland-dotplot	Cleveland dot plot	克利夫兰点图	comparison	categorical	comparison	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
lollipop-chart	lollipop chart	棒棒糖图	comparison	categorical	comparison	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
dumbbell-plot	dumbbell plot	哑铃图	comparison	categorical	comparison	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
slopegraph	slopegraph	坡度图	comparison	categorical	comparison	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
bump-chart	bump chart	排名变化图	comparison	categorical	comparison	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
bullet-chart	bullet chart	子弹图	comparison	interval	bullet	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
waterfall-chart	waterfall chart	瀑布图	comparison	categorical	waterfall	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
pareto-chart	Pareto chart	帕累托图	comparison	categorical	comparison	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
paired-dotplot	paired dot plot	配对点图	comparison	categorical	comparison	named-variant-validated	ggplot2;jsonlite;ragg	P-ESTIMATION
spaghetti-plot	spaghetti plot	意大利面条图	temporal	time-series	temporal	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
superplot	SuperPlot	超级图	comparison	categorical	comparison	named-variant-validated	ggplot2;jsonlite;ragg	P-SUPERPLOT
small-multiples	small multiples	小倍图	comparison	categorical	comparison	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
forest-plot	forest plot	森林图	effect-uncertainty	interval	interval	named-variant-validated	ggplot2;jsonlite;ragg	P-META-TAXONOMY
caterpillar-plot	caterpillar plot	毛毛虫图	effect-uncertainty	interval	interval	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
interval-dotplot	interval dot plot	点区间图	effect-uncertainty	interval	interval	named-variant-validated	ggplot2;jsonlite;ragg	P-ESTIMATION
gardner-altman	Gardner-Altman estimation plot	Gardner–Altman 估计图	effect-uncertainty	categorical	estimation	named-variant-validated	ggplot2;jsonlite;ragg	P-ESTIMATION
cumming-estimation	Cumming estimation plot	Cumming 估计图	effect-uncertainty	categorical	estimation	named-variant-validated	ggplot2;jsonlite;ragg	P-ESTIMATION
bootstrap-distribution	bootstrap estimate distribution	自助法估计分布图	effect-uncertainty	categorical	estimation	named-variant-validated	ggplot2;jsonlite;ragg	P-ESTIMATION
hypothetical-outcome-plot	hypothetical outcome plot	假想结果图	effect-uncertainty	categorical	estimation	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-DYNAMICVISUALIZATIONS
fan-chart	fan chart	扇形预测图	effect-uncertainty	time-series	temporal-uncertainty	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
funnel-plot	funnel plot	漏斗图	effect-uncertainty	meta-analysis	meta-analysis	named-variant-validated	ggplot2;jsonlite;ragg	P-META-TAXONOMY
contour-enhanced-funnel	contour-enhanced funnel plot	等高增强漏斗图	effect-uncertainty	meta-analysis	meta-analysis	named-variant-validated	ggplot2;jsonlite;ragg	P-META-TAXONOMY
galbraith-plot	Galbraith plot	加尔布雷思图	effect-uncertainty	meta-analysis	meta-analysis	named-variant-validated	ggplot2;jsonlite;ragg	P-META-TAXONOMY
l-abbe-plot	L'Abbé plot	L'Abbé 图	effect-uncertainty	meta-analysis	meta-analysis	named-variant-validated	ggplot2;jsonlite;ragg	P-META-TAXONOMY
baujat-plot	Baujat plot	Baujat 图	effect-uncertainty	meta-analysis	meta-analysis	named-variant-validated	ggplot2;jsonlite;ragg	P-META-TAXONOMY
drapery-plot	drapery plot	帷幕图	effect-uncertainty	meta-analysis	meta-analysis	named-variant-validated	ggplot2;jsonlite;ragg	P-META-TAXONOMY
specification-curve	specification curve	规格曲线	effect-uncertainty	interval	interval	named-variant-validated	ggplot2;jsonlite;ragg	P-MULTIVERSE-2026
multiverse-plot	multiverse plot	多宇宙图	effect-uncertainty	interval	interval	named-variant-validated	ggplot2;jsonlite;ragg	P-MULTIVERSE-2026
vibration-of-effects	vibration of effects plot	效应振动图	effect-uncertainty	interval	interval	named-variant-validated	ggplot2;jsonlite;ragg	P-MULTIVERSE-2026
scatterplot	scatter plot	散点图	relationship	xy	relationship	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
bubble-chart	bubble chart	气泡图	relationship	xy	relationship	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
hexbin-plot	hexbin plot	六边形分箱图	relationship	xy	relationship	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
rect-bin2d	rectangular 2D bin plot	二维矩形分箱图	relationship	xy	relationship	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
density-2d	2D density contour	二维密度等高图	relationship	xy	relationship	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
density-raster	2D density raster	二维密度栅格图	relationship	xy	relationship	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
scatter-density	scatter density plot	点密度着色散点图	relationship	xy	relationship	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
connected-scatter	connected scatterplot	连接散点图	relationship	xy	relationship	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
regression-line	regression scatter with interval	回归散点及区间图	relationship	xy	relationship	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
loess-plot	LOESS smooth plot	LOESS 平滑图	relationship	xy	relationship	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
gam-smooth	GAM smooth effect plot	GAM 平滑效应图	relationship	xy	relationship	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-ENV
response-surface	response surface	响应面图	relationship	spatial-grid	response-surface	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-AGRI
ternary-response	ternary response contour	三元响应等高图	relationship	ternary	ternary-response	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-COMP
correlation-matrix	correlation matrix plot	相关矩阵图	relationship	matrix	matrix	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-ENV
scatterplot-matrix	scatterplot matrix	散点图矩阵	relationship	multivariate-long	multivariate-pairs	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
parallel-coordinates	parallel coordinates	平行坐标图	multivariate	multivariate-long	multivariate	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
andrews-curves	Andrews curves	安德鲁斯曲线	multivariate	multivariate-long	multivariate	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
radar-chart	radar chart	雷达图	multivariate	multivariate-long	multivariate	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
star-glyph	star glyph plot	星形符号图	multivariate	multivariate-long	multivariate	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
ternary-plot	ternary plot	三元图	composition	ternary	ternary	named-variant-validated	ggplot2;jsonlite;ragg	R-SOILTEXTURE;R-CTV-COMP
pca-biplot	PCA biplot	PCA 双标图	multivariate	ordination	ordination	named-variant-validated	ggplot2;jsonlite;ragg	R-VEGAN
pcoa-plot	PCoA plot	主坐标分析图	multivariate	ordination	ordination	named-variant-validated	ggplot2;jsonlite;ragg	R-VEGAN
nmds-plot	NMDS ordination	NMDS 排序图	multivariate	ordination	ordination	named-variant-validated	ggplot2;jsonlite;ragg	R-VEGAN
rda-triplot	RDA triplot	RDA 三标图	multivariate	ordination	ordination	named-variant-validated	ggplot2;jsonlite;ragg	R-VEGAN
cca-triplot	CCA triplot	CCA 三标图	multivariate	ordination	ordination	named-variant-validated	ggplot2;jsonlite;ragg	R-VEGAN
dbrda-plot	dbRDA ordination	距离约束排序图	multivariate	ordination	ordination	named-variant-validated	ggplot2;jsonlite;ragg	R-VEGAN
ordination-hull	ordination convex hull	排序凸包图	multivariate	ordination	ordination	named-variant-validated	ggplot2;jsonlite;ragg	R-VEGAN
ordination-ellipse	ordination ellipse	排序椭圆图	multivariate	ordination	ordination	named-variant-validated	ggplot2;jsonlite;ragg	R-VEGAN
ordination-spider	ordination spider plot	排序蜘蛛图	multivariate	ordination	ordination	named-variant-validated	ggplot2;jsonlite;ragg	R-VEGAN
variation-partition	variation partition diagram	变异分解图	multivariate	set-membership	set-membership	named-variant-validated	ggplot2;jsonlite;ragg	R-VEGAN
line-chart	line chart	折线图	temporal	time-series	temporal	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
step-chart	step chart	阶梯图	temporal	time-series	temporal	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
area-chart	area chart	面积图	temporal	time-series	temporal	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
stacked-area	stacked area chart	堆叠面积图	temporal	time-series	temporal	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
streamgraph	streamgraph	流图	temporal	time-series	temporal	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-DYNAMICVISUALIZATIONS
horizon-chart	horizon graph	地平线图	temporal	time-series	temporal	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-DYNAMICVISUALIZATIONS
lasagna-plot	lasagna plot	千层面图	temporal	time-series	temporal	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
calendar-heatmap	calendar heatmap	日历热图	temporal	time-series	temporal	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-HYDRO
event-timeline	event timeline	事件时间线	temporal	events	events	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
gantt-chart	Gantt chart	甘特图	temporal	events	events	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
phenology-wheel	phenology wheel	物候轮图	temporal	time-series	temporal	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-AGRI
seasonal-subseries	seasonal subseries plot	季节子序列图	temporal	time-series	temporal	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-HYDRO
autocorrelation-plot	autocorrelation plot	自相关图	temporal	time-series	temporal	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-HYDRO
partial-autocorrelation	partial autocorrelation plot	偏自相关图	temporal	time-series	temporal	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-HYDRO
lag-plot	lag plot	滞后图	temporal	time-series	temporal	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-HYDRO
change-point-plot	change-point plot	变点图	temporal	time-series	temporal	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-ENV
control-chart	control chart	控制图	temporal	time-series	temporal	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
run-chart	run chart	运行图	temporal	time-series	temporal	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
survival-km	Kaplan-Meier curve	Kaplan–Meier 曲线	temporal	survival	survival	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
cumulative-incidence	cumulative incidence curve	累积发生曲线	temporal	survival	survival	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
swimmer-plot	swimmer plot	泳道图	temporal	events	events	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
lexis-diagram	Lexis diagram	Lexis 图	temporal	events	events	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
state-sequence	state sequence plot	状态序列图	temporal	state-series	state-series	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
alluvial-plot	alluvial plot	冲积图	flow	flow	flow	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
sankey-diagram	Sankey diagram	桑基图	flow	flow	flow	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-DYNAMICVISUALIZATIONS
parallel-sets	parallel sets	平行集合图	flow	flow	flow	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
chord-diagram	chord diagram	弦图	flow	network	network	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
riverplot	river plot	河流图	flow	flow	flow	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
pie-chart	pie chart	饼图	composition	composition	composition	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
donut-chart	donut chart	环形图	composition	composition	composition	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
waffle-chart	waffle chart	华夫图	composition	composition	composition	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
pictogram-chart	pictogram chart	象形单位图	composition	composition	composition	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
treemap	treemap	矩形树图	hierarchy	hierarchy	hierarchy	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
sunburst	sunburst chart	旭日图	hierarchy	hierarchy	hierarchy	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-DYNAMICVISUALIZATIONS
icicle-plot	icicle plot	冰柱图	hierarchy	hierarchy	hierarchy	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-DYNAMICVISUALIZATIONS
marimekko	Marimekko plot	马赛克矩形图	composition	composition	composition	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
mosaic-plot	mosaic plot	马赛克图	matrix	matrix	matrix	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
association-plot	association plot	关联图	matrix	matrix	matrix	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
fluctuation-diagram	fluctuation diagram	波动图	matrix	matrix	matrix	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
heatmap	heatmap	热图	matrix	matrix	matrix	named-variant-validated	ggplot2;jsonlite;ragg	R-COMPLEXHEATMAP
clustered-heatmap	clustered heatmap	聚类热图	matrix	matrix	matrix	named-variant-validated	ggplot2;jsonlite;ragg	R-COMPLEXHEATMAP
annotated-heatmap	annotated heatmap	注释热图	matrix	matrix	matrix	named-variant-validated	ggplot2;jsonlite;ragg	R-COMPLEXHEATMAP
dot-heatmap	dot heatmap	点阵热图	matrix	matrix	matrix	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
distance-matrix	distance matrix heatmap	距离矩阵热图	matrix	matrix	matrix	named-variant-validated	ggplot2;jsonlite;ragg	R-VEGAN
confusion-matrix	confusion matrix heatmap	混淆矩阵图	matrix	matrix	matrix	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
hinton-diagram	Hinton diagram	辛顿图	matrix	matrix	matrix	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
upset-plot	UpSet plot	UpSet 集合图	set	set-membership	set-membership	named-variant-validated	ggplot2;jsonlite;ragg	R-COMPLEXHEATMAP
venn-diagram	Venn diagram	维恩图	set	set-membership	set-membership	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
euler-diagram	Euler diagram	欧拉图	set	set-membership	set-membership	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
oncoprint	OncoPrint	肿瘤突变矩阵图	matrix	matrix	matrix	named-variant-validated	ggplot2;jsonlite;ragg	R-COMPLEXHEATMAP
node-link-network	node-link network	节点—连线网络图	network	network	network	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
directed-network	directed network	有向网络图	network	network	network	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
weighted-network	weighted network	加权网络图	network	network	network	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
bipartite-network	bipartite network	二分网络图	network	network	network	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-ENV
arc-diagram	arc diagram	弧线图	network	network	network	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
hive-plot	hive plot	蜂巢网络图	network	network	network	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
adjacency-matrix	adjacency matrix plot	邻接矩阵图	network	network	network	named-variant-validated	ggplot2;jsonlite;ragg	R-COMPLEXHEATMAP
network-small-multiples	network small multiples	网络小倍图	network	network	network	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
dendrogram	dendrogram	树状聚类图	hierarchy	hierarchy	hierarchy	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
phylogram	phylogram	系统发育树图	hierarchy	hierarchy	hierarchy	named-variant-validated	ggplot2;jsonlite;ragg	R-GGTREE
fan-tree	fan phylogenetic tree	扇形系统发育树	hierarchy	hierarchy	hierarchy	named-variant-validated	ggplot2;jsonlite;ragg	R-GGTREE
unrooted-tree	unrooted phylogenetic tree	无根系统发育树	hierarchy	hierarchy	hierarchy	named-variant-validated	ggplot2;jsonlite;ragg	R-GGTREE
tree-heatmap	phylogenetic tree with heatmap	树—热图组合	hierarchy	hierarchy	hierarchy	named-variant-validated	ggplot2;jsonlite;ragg	R-GGTREE
tanglegram	tanglegram	纠缠树图	hierarchy	hierarchy	hierarchy	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
cophylogeny-plot	cophylogeny plot	共系统发育图	hierarchy	hierarchy	hierarchy	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-ENV
heat-tree	heat tree	热树图	hierarchy	hierarchy	hierarchy	named-variant-validated	ggplot2;jsonlite;ragg	P-METACODER
sample-location-map	sample location map	采样点位图	spatial	spatial-grid	spatial	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-SPATIAL
choropleth-map	choropleth map	分区设色图	spatial	spatial-grid	spatial	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-SPATIAL
proportional-symbol-map	proportional symbol map	比例符号地图	spatial	spatial-grid	spatial	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-SPATIAL
dot-density-map	dot density map	点密度地图	spatial	spatial-grid	spatial	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-SPATIAL
raster-map	raster map	栅格地图	spatial	spatial-grid	spatial	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-SPATIAL
categorical-raster-map	categorical raster map	分类栅格图	spatial	spatial-grid	spatial	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-SPATIAL
contour-map	contour map	等值线图	spatial	spatial-grid	spatial	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-SPATIAL
filled-contour-map	filled contour map	填色等值线图	spatial	spatial-grid	spatial	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-SPATIAL
hillshade-map	hillshade map	地形晕渲图	spatial	spatial-grid	spatial	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-SPATIAL
terrain-map	terrain elevation map	地形高程图	spatial	spatial-grid	spatial	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-SPATIAL
slope-aspect-map	slope/aspect map	坡度/坡向图	spatial	spatial-grid	spatial	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-SPATIAL
vector-field-map	vector field map	矢量场地图	spatial	spatial-grid	spatial	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-SPATIAL
flow-map	flow map	流向地图	spatial	spatial-grid	spatial	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-SPATIAL
kernel-density-map	spatial kernel density map	空间核密度图	spatial	spatial-grid	spatial	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-SPATIAL
hotspot-map	hotspot/LISA map	热点/LISA 图	spatial	spatial-grid	spatial	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-SPATIAL
cartogram	cartogram	变形地图	spatial	spatial-grid	spatial	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-SPATIAL
hex-tile-map	hex tile map	六边形瓦片地图	spatial	spatial-grid	spatial	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-SPATIAL
bivariate-map	bivariate choropleth	双变量分区图	spatial	spatial-grid	spatial	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-SPATIAL
uncertainty-map	uncertainty map	不确定性地图	spatial-prediction	spatial-grid	spatial-prediction	named-variant-validated	ggplot2;jsonlite;ragg	P-DSM-UNCERTAINTY-2024
prediction-map	prediction map	预测地图	spatial-prediction	spatial-grid	spatial-prediction	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-SPATIAL
residual-map	spatial residual map	空间残差图	spatial-prediction	spatial-grid	spatial-prediction	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-SPATIAL
applicability-domain-map	area of applicability map	适用域地图	spatial-prediction	spatial-grid	spatial-prediction	named-variant-validated	ggplot2;jsonlite;ragg	R-CAST
spatial-cv-map	spatial cross-validation folds	空间交叉验证分区图	spatial-prediction	spatial-grid	spatial-prediction	named-variant-validated	ggplot2;jsonlite;ragg	R-CAST
variogram	empirical variogram	经验变异函数图	spatial-prediction	variogram	variogram	named-variant-validated	ggplot2;jsonlite;ragg	R-GSTAT
fitted-variogram	fitted variogram	拟合变异函数图	spatial-prediction	variogram	variogram	named-variant-validated	ggplot2;jsonlite;ragg	R-GSTAT
directional-variogram	directional variogram	方向变异函数图	spatial-prediction	variogram	variogram	named-variant-validated	ggplot2;jsonlite;ragg	R-GSTAT
variogram-cloud	variogram cloud	变异函数云图	spatial-prediction	variogram	variogram	named-variant-validated	ggplot2;jsonlite;ragg	R-GSTAT
cross-variogram	cross-variogram	交叉变异函数图	spatial-prediction	variogram	variogram	named-variant-validated	ggplot2;jsonlite;ragg	R-GSTAT
depth-slice-maps	depth-slice map small multiples	深度切片地图组	spatial-profile	spatial-grid	spatial-profile	named-variant-validated	ggplot2;jsonlite;ragg	P-SOIL-LANDSCAPE-2025
soil-cross-section	soil property cross-section	土壤属性剖面截面图	spatial-profile	spatial-grid	spatial-profile	named-variant-validated	ggplot2;jsonlite;ragg	P-SOIL-LANDSCAPE-2025
space-time-cube	space-time cube	时空立方体	spatial-temporal	spatial-grid	spatial-temporal	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-SPATIAL
hovmoller-diagram	Hovmöller diagram	霍夫默勒图	spatial-temporal	spatial-grid	spatial-temporal	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-HYDRO
geofacet-map	geofaceted small multiples	地理分面图	spatial	spatial-grid	spatial	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-SPATIAL
scatterpie-map	spatial scatterpie map	空间饼图符号地图	spatial-composition	spatial-grid	spatial-composition	named-variant-validated	ggplot2;jsonlite;ragg	R-CTV-SPATIAL
scatterbar-map	spatial scatterbar map	空间条形符号地图	spatial-composition	spatial-grid	spatial-composition	named-variant-validated	ggplot2;jsonlite;ragg	P-SCATTERBAR-2025
soil-profile-sketch	soil profile sketch	土壤剖面草图	profile	profile	profile	named-variant-validated	ggplot2;jsonlite;ragg	R-AQP-PLOT
grouped-soil-profiles	grouped soil profile plot	分组土壤剖面图	profile	profile	profile	named-variant-validated	ggplot2;jsonlite;ragg	R-AQP
soil-depth-profile	soil property depth profile	土壤属性深度曲线	profile	profile	profile	named-variant-validated	ggplot2;jsonlite;ragg	R-AQP
mass-preserving-spline-profile	mass-preserving spline profile	等质量保持样条深度图	profile	profile	profile	named-variant-validated	ggplot2;jsonlite;ragg	R-AQP
