journal_name,registry_groups,soil_topic_scope,language_or_region,publisher,official_author_url,source_status,source_accessed_at,notes
干旱区研究,Chinese soil and adjacent discovery,干旱土壤/生态水文,中文/中英摘要,中国科学院新疆生态与地理研究所,http://azr.xjegi.com/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
干旱区资源与环境,Chinese soil and adjacent discovery,土地退化/资源环境,中文/中英摘要,中国自然资源学会干旱半干旱地区研究委员会、内蒙古农业大学,http://ghzh.cbpt.cnki.net/,CNKI 期刊门户内投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
华北农学报,Chinese soil and adjacent discovery,农田土壤/养分/作物,中文/中英摘要,北京、天津、河北等农科院联合主办,http://www.hbnxb.net/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
华中农业大学学报,Chinese soil and adjacent discovery,土壤肥料/资源环境,中文/中英摘要,华中农业大学,http://hnxbl.cnjournals.net/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
环境工程学报,Chinese soil and adjacent discovery,土壤修复/固废资源化,中文/中英摘要,中国科学院生态环境研究中心,https://www.cjee.ac.cn/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
环境化学,General and interdisciplinary discovery,土壤污染物形态、界面反应、分析与风险,中文/中英摘要,中国科学院生态环境研究中心,https://www.sciengine.com/EC/home,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
环境科学,Chinese soil and adjacent discovery,土壤污染/环境化学,中文/中英摘要,中国科学院生态环境研究中心,https://www.hjkx.ac.cn/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
环境科学学报,Chinese soil and adjacent discovery,土壤污染/环境过程,中文/中英摘要,中国科学院生态环境研究中心,https://www.sciengine.com/SE/Journal/hjkxxb,官网投稿指南,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
环境科学研究,General and interdisciplinary discovery,土壤污染、风险评估、修复与环境管理,中文/中英摘要,中国环境科学研究院,https://www.hjkxyj.org.cn/,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
环境科学与技术,General and interdisciplinary discovery,土壤污染、修复材料、环境风险与工程应用,中文/中英摘要,湖北省生态环境科学研究院,http://www.fjks.com.cn/,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
节水灌溉,Chinese soil and adjacent discovery,土壤水分/灌溉,中文/中英摘要,武汉大学、中国国家灌溉排水委员会,http://www.jsgg.com.cn/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
科学通报,General and interdisciplinary discovery,具有较广科学意义的土壤、生态、农业和地球系统研究,中文/英文,中国科学院、国家自然科学基金委员会,https://www.sciengine.com/CSB/home,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
矿物岩石地球化学通报,Chinese soil and adjacent discovery,土壤地球化学/矿物过程,中文/中英摘要,中国矿物岩石地球化学学会、中国科学院地球化学研究所,http://www.bulletin.cas.cn/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
林业科学,General and interdisciplinary discovery,森林土壤、根际、凋落物和生态恢复,中文/中英摘要,中国林学会,http://www.linyekexue.net/,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
南京农业大学学报,Chinese soil and adjacent discovery,土壤农业化学/植物营养,中文/中英摘要,南京农业大学,https://nauxb.njau.edu.cn/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
农业工程学报,Chinese soil and adjacent discovery,耕作/土壤水肥/遥感,中文/中英摘要,中国农业工程学会,http://www.tcsae.org/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
农业环境科学学报,Chinese soil and adjacent discovery,土壤环境/污染修复,中文/中英摘要,农业农村部环境保护科研监测所、中国农业生态环境保护协会,https://www.aes.org.cn/nyhjkxxb/,本地包已有征稿简则 PDF,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
农业机械学报,Chinese soil and adjacent discovery,耕作机械/土壤工程,中文/中英摘要,中国农业机械学会、中国农业机械化科学研究院,http://www.j-csam.org/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
农业现代化研究,Chinese soil and adjacent discovery,农业生态/资源环境,中文/中英摘要,中国科学院亚热带农业生态研究所,http://nyxdhyj.isa.ac.cn/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
农业资源与环境学报,Chinese soil and adjacent discovery,农业资源/土壤环境,中文/中英摘要,农业农村部环境保护科研监测所,https://www.aed.org.cn/nyzyyhjxb/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
生态毒理学报,General and interdisciplinary discovery,土壤污染生态毒理、风险和生物效应,中文/中英摘要,中国科学院生态环境研究中心,https://cdn.sciengine.com/AJE/home,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
生态环境学报,Chinese soil and adjacent discovery,土壤生态/环境,中文/中英摘要,广东省生态环境与土壤研究所、广东省土壤学会,http://www.jeesci.com/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
生态学报,Chinese soil and adjacent discovery,土壤生态/生态系统,中文/中英摘要,中国生态学学会、中国科学院生态环境研究中心,https://www.ecologica.cn/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
生态学杂志,Chinese soil and adjacent discovery,土壤生态/生态过程,中文/中英摘要,中国生态学学会、中国科学院沈阳应用生态研究所,http://www.cje.net.cn/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
生态与农村环境学报,Chinese soil and adjacent discovery,土壤生态/农村环境,中文/中英摘要,生态环境部南京环境科学研究所,http://www.ere.ac.cn/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
生物多样性,General and interdisciplinary discovery,土壤生物多样性、地下生态与保护,中文/中英摘要,中国科学院植物研究所、中国植物学会,https://www.biodiversity-science.net/,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
湿地科学,Chinese soil and adjacent discovery,湿地土壤/生物地球化学,中文/中英摘要,中国科学院东北地理与农业生态研究所、中国生态学学会,http://wetlands.neigae.ac.cn/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
水土保持通报,Chinese soil and adjacent discovery,土壤侵蚀/水土保持,中文/中英摘要,中国科学院水利部水土保持研究所,http://stbctb.alljournal.com.cn/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
水土保持学报,Chinese soil and adjacent discovery,土壤侵蚀/水土保持,中文/中英摘要,中国科学院水利部水土保持研究所,https://www.stbcxb.com.cn/zh/info/16499/,投稿须知与写作指南均有官方页面,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
水土保持研究,Chinese soil and adjacent discovery,土壤侵蚀/生态恢复,中文/中英摘要,中国科学院水利部水土保持研究所,http://stbcyj.paperonce.org/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
土壤,Chinese soil and adjacent discovery,直接土壤学,中文/中英摘要,中国科学院南京土壤研究所,http://soils.issas.ac.cn/,官网投稿须知；本地包已有保存件,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
土壤通报,Chinese soil and adjacent discovery,直接土壤学,中文/中英摘要,中国土壤学会、沈阳农业大学,http://www.trtb.net/tougaozhinan,当前指南仍写 GB/T 7714—2015；模板下载有验证码,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
土壤学报,Chinese soil and adjacent discovery,直接土壤学,中文/中英摘要,中国科学院南京土壤研究所、中国土壤学会,http://pedologica.issas.ac.cn/,官网内“投稿指南/下载中心”,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
土壤与作物,Chinese soil and adjacent discovery,直接土壤学/作物,中文/中英摘要,中国科学院东北地理与农业生态研究所,http://trzw.cbpt.cnki.net/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
微生物学报,General and interdisciplinary discovery,土壤微生物生态、功能菌与组学,中文/中英摘要,中国科学院微生物研究所、中国微生物学会,https://actamicro.ijournals.cn/actamicrocn/,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
微生物学通报,General and interdisciplinary discovery,土壤微生物技术、群落与教学方法,中文/中英摘要,中国科学院微生物研究所、中国微生物学会,https://wswxtb.ijournals.cn/wswxtbcn/,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
西北农林科技大学学报（自然科学版）,Chinese soil and adjacent discovery,水土保持/土壤肥料,中文/中英摘要,西北农林科技大学,https://www.xnxbz.net/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
西南农业学报,Chinese soil and adjacent discovery,土壤肥料/农业生态,中文/中英摘要,西南地区农业科学院等,http://www.xnnyxb.com/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
岩矿测试,Chinese soil and adjacent discovery,土壤矿物/元素分析方法,中文/中英摘要,中国地质学会岩矿测试技术专业委员会、国家地质实验测试中心,http://www.ykcs.ac.cn/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
岩石矿物学杂志,Chinese soil and adjacent discovery,土壤矿物学/黏土矿物,中文/中英摘要,中国地质学会岩石学专业委员会等,http://www.yskw.ac.cn/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
遥感学报,Chinese soil and adjacent discovery,土壤遥感/数字制图,中文/中英摘要,中国科学院空天信息创新研究院、中国地理学会,https://www.ygxb.ac.cn/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
应用生态学报,Chinese soil and adjacent discovery,土壤生态/农林生态,中文/中英摘要,中国生态学学会、中国科学院沈阳应用生态研究所,http://www.cjae.net/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
长江流域资源与环境,General and interdisciplinary discovery,流域土壤、土地利用、生态风险和面源污染,中文/中英摘要,中国科学院武汉文献情报中心、中国科学院南京地理与湖泊研究所,https://yangtzebasin.whlib.ac.cn/,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
浙江大学学报（农业与生命科学版）,Chinese soil and adjacent discovery,土壤资源/植物营养,中文/中英摘要,浙江大学,https://www.zjujournals.com/agr/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
植物生态学报,Chinese soil and adjacent discovery,土壤—植物关系/生态,中文/中英摘要,中国科学院植物研究所、中国植物学会,https://www.plant-ecology.com/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
植物营养与肥料学报,Chinese soil and adjacent discovery,植物营养/肥料/土壤,中文/中英摘要,中国植物营养与肥料学会,https://www.plantnutrifert.org/,本地包已有投稿须知 PDF,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
中国环境科学,Chinese soil and adjacent discovery,土壤污染/修复,中文/中英摘要,中国环境科学学会,http://www.zghjkx.com.cn/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
中国科学：地球科学,General and interdisciplinary discovery,土壤形成、关键带、风化、地球化学和陆面过程,中文/英文,中国科学院、国家自然科学基金委员会,https://www.sciengine.com/SCES/home,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
中国农学通报,Chinese soil and adjacent discovery,土壤肥料/资源环境,中文/中英摘要,中国农学会,https://www.casb.org.cn/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
中国农业科学,Chinese soil and adjacent discovery,土壤肥料/农业资源环境,中文/中英摘要,中国农业科学院,https://www.chinaagrisci.com/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
中国农业资源与区划,Chinese soil and adjacent discovery,耕地质量/土地资源,中文/中英摘要,中国农业科学院农业资源与农业区划研究所,https://www.cjarrp.com/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
中国沙漠,General and interdisciplinary discovery,荒漠土壤、风蚀、土地退化与恢复,中文/中英摘要,中国科学院西北生态环境资源研究院、中国地理学会,http://www.desert.ac.cn/,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
中国生态农业学报（中英文）,Chinese soil and adjacent discovery,农田土壤/生态农业,中英文,中国科学院遗传与发育生物学研究所农业资源研究中心、中国生态经济学学会,https://www.ecoagri.ac.cn/,官网投稿指南,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
中国水土保持科学,Chinese soil and adjacent discovery,土壤侵蚀/水土保持,中文/中英摘要,中国水土保持学会,http://www.sswcc.org.cn/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
中国土壤与肥料,Chinese soil and adjacent discovery,土壤肥力/肥料,中文/中英摘要,中国农业科学院农业资源与农业区划研究所、中国植物营养与肥料学会,https://chinatrfl.alljournal.net.cn/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
资源科学,Chinese soil and adjacent discovery,土地资源/生态系统服务,中文/中英摘要,中国科学院地理科学与资源研究所、中国自然资源学会,https://www.resci.cn/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
自然资源学报,General and interdisciplinary discovery,耕地、土地退化、土壤资源与生态系统服务,中文/中英摘要,中国自然资源学会、中国科学院地理科学与资源研究所,https://www.jnr.ac.cn/,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
自然资源遥感,Chinese soil and adjacent discovery,土壤与土地遥感,中文/中英摘要,中国自然资源航空物探遥感中心,https://www.gtzyyg.com/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
作物学报,Chinese soil and adjacent discovery,土壤—作物/养分管理,中文/中英摘要,中国作物学会、中国农业科学院作物科学研究所,https://zwxb.chinacrops.org/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Acta Agriculturae Scandinavica Section B: Soil and Plant Science,Scopus Soil Science discovery | WoS Soil Science discovery,直接土壤学/土壤过程,International / English,Taylor & Francis,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=sagb20,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Acta Pedologica Sinica,Scopus Soil Science discovery,直接土壤学/土壤过程,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Advances in Agriculture,Scopus Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Agricultural and Environmental Letters,Scopus Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Agricultural and Forest Meteorology,General and interdisciplinary discovery,土壤水热、蒸散、碳通量和陆气交换,国际/英文,Elsevier,https://www.sciencedirect.com/journal/agricultural-and-forest-meteorology/publish/guide-for-authors,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Agricultural Systems,General and interdisciplinary discovery,土壤管理在农场和食物系统中的综合效应,国际/英文,Elsevier,https://www.sciencedirect.com/journal/agricultural-systems/publish/guide-for-authors,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Agricultural Water Management,Scopus Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
"Agriculture, Ecosystems & Environment",General and interdisciplinary discovery,农田土壤碳氮、温室气体、生态系统服务与管理,国际/英文,Elsevier,https://www.sciencedirect.com/journal/agriculture-ecosystems-and-environment/publish/guide-for-authors,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Agrochimica,WoS Soil Science discovery,Soil Science category,International / English,Pisa University Press,https://www.pisauniversitypress.it/landing-page/le-riviste/agrochimica-1497.html,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
"Agrosystems, Geosciences and Environment",Scopus Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Annals of Agricultural Sciences,Scopus Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Applied and Environmental Soil Science,Scopus Soil Science discovery | WoS Soil Science discovery,直接土壤学/土壤过程,International / English,Wiley,https://onlinelibrary.wiley.com/page/journal/16877675/homepage/forauthors.html,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Applied Clay Science,Scopus Soil Science discovery,直接土壤学/土壤过程,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Applied Soil Ecology,Scopus Soil Science discovery | WoS Soil Science discovery,直接土壤学/土壤过程,International / English,Elsevier,https://www.sciencedirect.com/journal/applied-soil-ecology/publish/guide-for-authors,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Archives of Agronomy and Soil Science,Scopus Soil Science discovery | WoS Soil Science discovery,直接土壤学/土壤过程,International / English,Taylor & Francis,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=gags20,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Arid Land Research and Management,Scopus Soil Science discovery | WoS Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,Taylor & Francis,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=uasr20,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Biochar,Scopus Soil Science discovery | WoS Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,Springer Nature,https://link.springer.com/journal/42773/submission-guidelines,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Biogeochemistry,General and interdisciplinary discovery,土壤碳氮磷硫循环与生态系统过程,国际/英文,Springer Nature,https://link.springer.com/journal/10533/submission-guidelines,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Biogeosciences,General and interdisciplinary discovery,土壤碳、温室气体、关键带与地球系统过程,国际/英文,Copernicus Publications,https://www.biogeosciences.net/submission.html,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Biology and Fertility of Soils,Scopus Soil Science discovery | WoS Soil Science discovery,直接土壤学/土壤过程,International / English,Springer Nature,https://link.springer.com/journal/374/submission-guidelines,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Bioresource Technology,General and interdisciplinary discovery,堆肥、生物炭、废弃物资源化与土壤利用,国际/英文,Elsevier,https://www.sciencedirect.com/journal/bioresource-technology/publish/guide-for-authors,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Biosystems Engineering,Scopus Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Canadian Journal of Soil Science,Scopus Soil Science discovery | WoS Soil Science discovery,直接土壤学/土壤过程,International / English,Canadian Science Publishing,https://cdnsciencepub.com/journal/cjss,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Catena,WoS Soil Science discovery,Soil Science category,International / English,Elsevier,https://www.sciencedirect.com/journal/catena/publish/guide-for-authors,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Chinese Journal of Eco-Agriculture,Scopus Soil Science discovery,Scopus 土壤学分类中的交叉期刊,International / English,待核验,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Clays and Clay Minerals,Scopus Soil Science discovery | WoS Soil Science discovery,直接土壤学/土壤过程,International / English,Cambridge University Press,https://www.cambridge.org/core/journals/clays-and-clay-minerals/information/author-instructions,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Communications Earth & Environment,General and interdisciplinary discovery,土壤形成、土地退化、碳循环、地球表层过程,国际/英文,Nature Portfolio,https://www.nature.com/commsenv/for-authors,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Communications in Soil Science and Plant Analysis,Scopus Soil Science discovery | WoS Soil Science discovery,直接土壤学/土壤过程,International / English,Taylor & Francis,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=lcss20,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Compost Science & Utilization,WoS Soil Science discovery,Soil Science category,International / English,Taylor & Francis,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ucsx20,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Computers and Electronics in Agriculture,General and interdisciplinary discovery,土壤传感器、近地遥感、精准农业和预测模型,国际/英文,Elsevier,https://www.sciencedirect.com/journal/computers-and-electronics-in-agriculture/publish/guide-for-authors,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Earth System Science Data,General and interdisciplinary discovery,全球/区域土壤数据库、基准数据集和数据产品,国际/英文,Copernicus Publications,https://www.earth-system-science-data.net/submission.html,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Earth's Future,General and interdisciplinary discovery,土壤与气候风险、土地系统、情景和可持续治理,国际/英文,AGU / Wiley,https://www.agu.org/Publish-with-AGU/Publish/Author-Resources,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Ecological Applications,General and interdisciplinary discovery,土壤管理、生态恢复、土地利用与生态系统服务,国际/英文,Ecological Society of America / Wiley,https://esajournals.onlinelibrary.wiley.com/hub/journal/19395582/resources/author-guidelines,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Ecological Indicators,General and interdisciplinary discovery,土壤质量、土壤健康和生态评价指标,国际/英文,Elsevier,https://www.sciencedirect.com/journal/ecological-indicators/publish/guide-for-authors,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Ecological Informatics,General and interdisciplinary discovery,数字土壤制图、机器学习、土壤生态数据分析,国际/英文,Elsevier,https://www.sciencedirect.com/journal/ecological-informatics/publish/guide-for-authors,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Ecosystems,General and interdisciplinary discovery,土壤—植物—微生物耦合、生态系统物质循环,国际/英文,Springer Nature,https://link.springer.com/journal/10021/submission-guidelines,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Ecotoxicology and Environmental Safety,General and interdisciplinary discovery,土壤污染物生态毒性和风险机制,国际/英文,Elsevier,https://www.sciencedirect.com/journal/ecotoxicology-and-environmental-safety/publish/guide-for-authors,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
Egyptian Journal Of Soil Science,WoS Soil Science discovery,Soil Science category,International / English,Egyptian Knowledge Bank,https://ejss.journals.ekb.eg/journal/authors.note,已定位官方投稿入口,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
